true_class_id,class_name,selected_images,mean_confidence,minimum_confidence,maximum_confidence
39,039.Least_Flycatcher,2,0.7638532519340515,0.7236437201499939,0.8040627837181091
40,040.Olive_sided_Flycatcher,2,0.8052925169467926,0.788949191570282,0.8216358423233032
41,041.Scissor_tailed_Flycatcher,2,0.9277513027191162,0.91998952627182,0.9355130791664124
42,042.Vermilion_Flycatcher,3,0.8341790636380514,0.736219048500061,0.8878173828125
43,043.Yellow_bellied_Flycatcher,2,0.8793472945690155,0.8639447689056396,0.8947498202323914
44,044.Frigatebird,2,0.8658097982406616,0.7832543849945068,0.9483652114868164
45,045.Northern_Fulmar,2,0.9111934900283813,0.8757538795471191,0.9466331005096436
46,046.Gadwall,3,0.952292283376058,0.9477026462554932,0.9581702351570128
47,047.American_Goldfinch,3,0.8494895497957865,0.8359558582305908,0.867952823638916
48,048.European_Goldfinch,3,0.8531025250752767,0.8217331767082214,0.8935133218765259
49,049.Boat_tailed_Grackle,2,0.5104966685175896,0.2350283712148666,0.7859649658203125
50,050.Eared_Grebe,2,0.5627661645412445,0.2078675031661987,0.9176648259162904
51,051.Horned_Grebe,3,0.6297017832597097,0.4374234974384308,0.9372623562812804
52,052.Pied_billed_Grebe,3,0.8360469142595927,0.650381326675415,0.9386236071586608
53,053.Western_Grebe,3,0.8704085747400919,0.8321195244789124,0.9148144721984864
54,054.Blue_Grosbeak,3,0.8220288952191671,0.7671834826469421,0.8534108400344849
55,055.Evening_Grosbeak,3,0.48429886748393375,0.0718610361218452,0.8792186975479126
56,056.Pine_Grosbeak,2,0.6255018562078476,0.4490019381046295,0.8020017743110657
57,057.Rose_breasted_Grosbeak,3,0.9176917870839437,0.8986449241638184,0.9523839950561525
58,058.Pigeon_Guillemot,2,0.7337225079536438,0.6573370695114136,0.810107946395874
59,059.California_Gull,2,0.39583645761013025,0.3797681033611297,0.4119048118591308
60,060.Glaucous_winged_Gull,2,0.8365035653114319,0.7369675636291504,0.9360395669937134
61,061.Heermann_Gull,3,0.719627300898234,0.6389258503913879,0.7742744088172913
62,062.Herring_Gull,2,0.8718408644199371,0.8512914180755615,0.8923903107643127
63,063.Ivory_Gull,3,0.8583458860715231,0.7715716361999512,0.9387321472167968
64,064.Ring_billed_Gull,2,0.543396532535553,0.5152711868286133,0.5715218782424927
65,065.Slaty_backed_Gull,2,0.47680532932281494,0.2017121315002441,0.7518985271453857
66,066.Western_Gull,2,0.8002000153064728,0.776410698890686,0.8239893317222595
67,067.Anna_Hummingbird,2,0.855845034122467,0.7988050580024719,0.9128850102424622
68,068.Ruby_throated_Hummingbird,2,0.83302041888237,0.7603229284286499,0.90571790933609
69,069.Rufous_Hummingbird,2,0.9259862303733826,0.9109876155853271,0.940984845161438
70,070.Green_Violetear,3,0.9588932394981384,0.9439215064048768,0.9707650542259216
71,071.Long_tailed_Jaeger,2,0.3577266931533813,0.2471001744270324,0.4683532118797302
72,072.Pomarine_Jaeger,2,0.6641307771205902,0.6237748861312866,0.7044866681098938
73,073.Blue_Jay,3,0.9038688739140829,0.8525223135948181,0.9452279806137084
74,074.Florida_Jay,3,0.8212515910466512,0.758554995059967,0.8838923573493958
75,075.Green_Jay,3,0.8286432226498922,0.6819921135902405,0.9428868889808656
76,076.Dark_eyed_Junco,3,0.7681518395741781,0.5750393271446228,0.8908947706222534
77,077.Tropical_Kingbird,3,0.8643946448961893,0.7567226886749268,0.9432347416877748
78,078.Gray_Kingbird,3,0.6491750180721283,0.2161614596843719,0.8996571898460388
79,079.Belted_Kingfisher,2,0.8912280797958374,0.8815760016441345,0.9008801579475404
80,080.Green_Kingfisher,3,0.6903188427289327,0.2545168995857239,0.9395765662193298
81,081.Pied_Kingfisher,3,0.908432404200236,0.9017415642738342,0.9210432767868042
82,082.Ringed_Kingfisher,3,0.9138410290082296,0.867444634437561,0.9449393153190612
83,083.White_breasted_Kingfisher,3,0.879471480846405,0.7757570147514343,0.9599793553352356
84,084.Red_legged_Kittiwake,2,0.5886136591434479,0.3655180931091308,0.8117092251777649
85,085.Horned_Lark,3,0.67147829135259,0.4180286526679992,0.8254991769790649
86,086.Pacific_Loon,3,0.7849606076876322,0.7349236011505127,0.8283121585845947
87,087.Mallard,2,0.94145867228508,0.9064978957176208,0.9764194488525392
88,088.Western_Meadowlark,3,0.8843485514322916,0.8637701272964478,0.8987974524497986
89,089.Hooded_Merganser,2,0.8960133194923401,0.8900905847549438,0.9019360542297364
90,090.Red_breasted_Merganser,3,0.6958605448404948,0.215939462184906,0.93725848197937
91,091.Mockingbird,2,0.590997725725174,0.544731855392456,0.6372635960578918
92,092.Nighthawk,2,0.7146767377853394,0.5162065029144287,0.91314697265625
93,093.Clark_Nutcracker,3,0.7277269760767618,0.6401946544647217,0.8698350191116333
94,094.White_breasted_Nuthatch,3,0.7738160888353983,0.6118943095207214,0.9485742449760436
95,095.Baltimore_Oriole,3,0.8348596890767416,0.6965316534042358,0.9110411405563354
96,096.Hooded_Oriole,2,0.9107967615127563,0.9077673554420472,0.9138261675834656
97,097.Orchard_Oriole,2,0.772664874792099,0.7338869571685791,0.8114427924156189
98,098.Scott_Oriole,3,0.8863632082939148,0.8019288778305054,0.951921045780182
99,099.Ovenbird,3,0.8103672464688619,0.7518022656440735,0.8875296711921692
100,100.Brown_Pelican,3,0.7721181611220042,0.4825624525547027,0.9246231913566588
101,101.White_Pelican,2,0.7896259427070618,0.7568989992141724,0.8223528861999512
102,102.Western_Wood_Pewee,2,0.5015212744474411,0.222608596086502,0.7804339528083801
103,103.Sayornis,3,0.5637929240862528,0.3143927454948425,0.8117291331291199
104,104.American_Pipit,2,0.4098822772502899,0.1520818471908569,0.6676827073097229
105,105.Whip_poor_Will,2,0.883011132478714,0.8694503903388977,0.8965718746185303
106,106.Horned_Puffin,3,0.8923513094584147,0.8692930340766907,0.928432822227478
107,107.Common_Raven,2,0.6763616502285004,0.6073406338691711,0.7453826665878296
108,108.White_necked_Raven,2,0.8267863392829895,0.7716169357299805,0.8819557428359985
109,109.American_Redstart,3,0.8676466941833496,0.832251250743866,0.901386559009552
110,110.Geococcyx,3,0.8971197605133057,0.8809804916381836,0.9068413376808168
111,111.Loggerhead_Shrike,2,0.545060396194458,0.4563375115394592,0.6337832808494568
112,112.Great_Grey_Shrike,2,0.7303101718425751,0.641610324382782,0.8190100193023682
113,113.Baird_Sparrow,2,0.5186331421136856,0.4681709706783294,0.5690953135490417
114,114.Black_throated_Sparrow,3,0.7894890507062277,0.7308478951454163,0.8314924240112305
115,115.Brewer_Sparrow,2,0.7462020814418793,0.5576357245445251,0.9347684383392334
116,116.Chipping_Sparrow,2,0.7266032695770264,0.5814813375473022,0.8717252016067505
117,117.Clay_colored_Sparrow,2,0.24076370149850845,0.1798877865076065,0.3016396164894104
118,118.House_Sparrow,2,0.19014267623424524,0.1538642048835754,0.2264211475849151
119,119.Field_Sparrow,2,0.8649424910545349,0.7998321056365967,0.9300528764724731
120,120.Fox_Sparrow,2,0.9366573989391326,0.9174880385398864,0.9558267593383788
121,121.Grasshopper_Sparrow,2,0.8252769410610199,0.7601979374885559,0.8903559446334839
122,122.Harris_Sparrow,3,0.9282296697298685,0.9135894775390624,0.9384734630584716
123,123.Henslow_Sparrow,2,0.7968164682388306,0.7943173050880432,0.7993156313896179
124,124.Le_Conte_Sparrow,3,0.7169411778450012,0.5912171602249146,0.8402079939842224
125,125.Lincoln_Sparrow,2,0.8521561622619629,0.8014472126960754,0.9028651118278505
126,126.Nelson_Sharp_tailed_Sparrow,2,0.8944581151008606,0.8668280243873596,0.9220882058143616
