source_type,corruption_type,severity,masking_fraction,image_count,mean_original_probability,mean_explanation_drop,median_explanation_drop,mean_compact_random_drop,mean_relocated_explanation_drop,mean_advantage_over_compact_random,mean_advantage_over_relocated_explanation,explanation_beats_compact_random_rate,explanation_beats_relocated_rate,mean_relative_explanation_drop,mean_relative_compact_random_drop,mean_relative_relocated_drop
corrupted,brightness,5,0.2,460,0.7644565186017881,0.6902062224062241,0.7786081433296204,0.20633902757098954,0.3779593997894351,0.48386719537008066,0.31224682322986747,0.9652173913043478,0.9326086956521739,0.8941161569865906,0.27709906294425624,0.5013345359543683
corrupted,brightness,5,0.3,460,0.7644565186017881,0.7320414217188954,0.8111532926559448,0.334637631110103,0.5498704259101626,0.39740379063169595,0.18217099633513262,0.9804347826086957,0.9,0.9487047973129412,0.4435756559350842,0.7252910322631183
corrupted,gaussian_noise,1,0.1,466,0.7534525711808849,0.518570258238157,0.5667996108531952,0.10405613998214365,0.1790146514906522,0.41451411828190854,0.3395556075370555,0.9420600858369099,0.9098712446351931,0.6968077418390389,0.14650279698032992,0.2472096809167055
corrupted,gaussian_noise,1,0.2,466,0.7534525711808849,0.676284740331219,0.7611241042613983,0.21240829214250845,0.38228111616725213,0.46387644848374593,0.2940036242691872,0.9613733905579399,0.9291845493562232,0.8878991143026513,0.29126913613357974,0.5148136829831208
corrupted,gaussian_noise,1,0.3,466,0.7534525711808849,0.7170800958148528,0.7955684661865234,0.3316380541312984,0.5428696204062557,0.3854420427232981,0.1742104752620786,0.9763948497854077,0.8927038626609443,0.9412095690098123,0.4506059951659993,0.7233019185446347
corrupted,gaussian_noise,3,0.1,413,0.6944253229813483,0.5229664511671944,0.5474746227264404,0.12981388674671832,0.21168971760423977,0.3931525639240285,0.3112767334378011,0.9297820823244553,0.9055690072639225,0.746378394029809,0.20284281166843607,0.32515620091900715
corrupted,gaussian_noise,3,0.2,413,0.6944253229813483,0.6296542046397708,0.7129210233688354,0.2288841570316832,0.3925800292502376,0.4007700480989769,0.23707417546169376,0.9394673123486683,0.8837772397094431,0.8857095984067795,0.34070494739644874,0.5771933405572147
corrupted,gaussian_noise,3,0.3,413,0.6944253229813483,0.6585075370696786,0.7460551857948303,0.3496988819112672,0.5394295855395983,0.30880865511049227,0.11907795156165056,0.9709443099273608,0.8159806295399515,0.9309663713546628,0.5090260430589796,0.7796917371406754
corrupted,gaussian_noise,5,0.1,319,0.5757340926525174,0.46866185233277213,0.47197994589805603,0.14079816970276446,0.2317029042597342,0.32786368303070995,0.2369589478446778,0.8996865203761756,0.8714733542319749,0.7672019540427142,0.2600889330533505,0.417656783451732
corrupted,gaussian_noise,5,0.2,319,0.5757340926525174,0.526778387156867,0.5689154863357544,0.2526621345142676,0.3748787823830203,0.2741162524000978,0.15189960477348172,0.9028213166144201,0.8213166144200627,0.863183823247735,0.45288983408816386,0.6417077589775713
corrupted,gaussian_noise,5,0.3,319,0.5757340926525174,0.5452761082066264,0.5761644244194031,0.3445895850383983,0.47398898502531517,0.20068652318282562,0.07128712324991962,0.9028213166144201,0.7586206896551724,0.9084930447832357,0.6101881061041243,0.806947570352532
corrupted,motion_blur,1,0.1,461,0.7180256480734932,0.49886538177211476,0.539995014667511,0.10541223255294191,0.1802265369432444,0.3934531503138809,0.3186388447509024,0.9023861171366594,0.8720173535791758,0.6907519974184946,0.15862112228683886,0.2619067957611409
corrupted,motion_blur,1,0.2,461,0.7180256480734932,0.6455928667038356,0.7295860052108765,0.21205259213633654,0.37210560146438404,0.4335402744840386,0.27348726488035696,0.9631236442516269,0.9023861171366594,0.885995224619248,0.3033102908965408,0.5374936846578837
corrupted,motion_blur,1,0.3,461,0.7180256480734932,0.6824329045405227,0.7639514803886414,0.3239193258141905,0.536631270486522,0.3585135779240514,0.14580163412975902,0.96529284164859,0.8546637744034707,0.9372865647045237,0.46620826272371196,0.7568271795546316
corrupted,motion_blur,3,0.1,388,0.652999630428313,0.4677670272067189,0.46781541407108307,0.11817422855585963,0.1940882765063845,0.3495927982550767,0.2736787511583072,0.8969072164948454,0.884020618556701,0.7024018581543771,0.1937153727806092,0.310955273265209
corrupted,motion_blur,3,0.2,388,0.652999630428313,0.5777024505563926,0.6313103437423706,0.2166416506123514,0.3700164148170554,0.36106079933953655,0.20768603553951084,0.9329896907216495,0.8582474226804123,0.847985681843075,0.3460722552369692,0.5716217405957256
corrupted,motion_blur,3,0.3,388,0.652999630428313,0.6111396216528163,0.6702491939067841,0.3208326096706496,0.4987635441441281,0.2903070116833275,0.11237607754469302,0.9201030927835051,0.7989690721649485,0.9058979503023102,0.5099442980141792,0.764090495208067
corrupted,motion_blur,5,0.1,284,0.5594107628026059,0.37525829971230157,0.3609851598739624,0.11489142699685262,0.1795512028351573,0.26036687315323614,0.1957070964772228,0.823943661971831,0.8098591549295775,0.6188818375025811,0.22376485243702018,0.3380385468126534
corrupted,motion_blur,5,0.2,284,0.5594107628026059,0.48340841360442655,0.5124962627887726,0.2064743712814984,0.31688933169195005,0.27693404202861055,0.16651908158895257,0.8697183098591549,0.8485915492957746,0.7984946899974398,0.38918379395560715,0.5589692219960648
corrupted,motion_blur,5,0.3,284,0.5594107628026059,0.5100598485064758,0.5513184070587158,0.2838829399447668,0.4257226416244316,0.22617690815118102,0.08433720695910792,0.8732394366197183,0.7077464788732394,0.842876782116126,0.5285800856634036,0.7412988881606766
